,date,country,GDP,quarter,ADM0_ISO,sum,mean,std,year
919,2017-12-31,印度,6.67,4,IND,15508692.766494421,0.9665522630863114,3.1645270741972316,2017
920,2018-03-31,印度,8.93,1,IND,14972686.447176099,0.9332568465576987,3.062166720319985,2018
921,2018-06-30,印度,7.5,2,IND,14931032.786062649,0.4955025590742565,2.105667927944545,2018
922,2018-09-30,印度,6.46,3,IND,10612997.740151742,0.6617583518369222,2.6790368625350083,2018
923,2018-12-31,印度,6.23,4,IND,15497154.073570559,0.9661098216386396,3.4905755275947548,2018
924,2019-03-31,印度,5.72,1,IND,15198593.040527144,0.95018165286348,3.2471345475855036,2019
925,2019-06-30,印度,5.1,2,IND,15741652.602038404,0.9812390305241031,2.9517789049836374,2019
926,2019-09-30,印度,4.3,3,IND,10280565.084623264,0.6424520228917345,2.4009666645546326,2019
927,2019-12-31,印度,3.26,4,IND,14872922.91966579,0.9279545129868243,2.977077942715122,2019
928,2020-03-31,印度,2.94,1,IND,15439980.719829515,0.9794973265712593,3.075964571015449,2020
929,2020-06-30,印度,-23.13,2,IND,15191970.374158187,0.9469386349524962,4.245873898810105,2020
930,2020-09-30,印度,-5.84,3,IND,10780853.018798403,0.6723027586263056,2.0565358910536875,2020
931,2020-12-31,印度,1.78,4,IND,16702835.667284144,1.0409653177005305,5.207803335907889,2020
932,2021-03-31,印度,3.29,1,IND,16203811.338539653,0.33477001258883216,1.7719619505620494,2021
933,2021-06-30,印度,22.63,2,IND,16754789.136690186,0.3461838939172071,1.7663544513045821,2021
934,2021-09-30,印度,9.87,3,IND,12460884.185413787,0.25746411045233464,1.3400235328920953,2021
935,2021-12-31,印度,5.53,4,IND,17556318.047086406,0.3627212315548953,1.8600479054726156,2021
936,2022-03-31,印度,4.45,1,IND,18276449.14496721,0.37758508118669526,1.9721110503482908,2022
937,2022-06-30,印度,12.81,2,IND,18812935.323944982,0.38868554429027175,1.7792739052668154,2022
938,2022-09-30,印度,5.46,3,IND,11203366.027629888,0.23147136406124622,1.2887997007737486,2022
939,2022-12-31,印度,4.26,4,IND,18854241.719664197,0.38952202979385686,3.7634703716039652,2022
940,2023-03-31,印度,6.18,1,IND,19349134.229312062,0.3997743661189877,2.0628924170386465,2023
941,2023-06-30,印度,8.24,2,IND,20546179.154274512,0.42448218762008993,3.728562565288582,2023
942,2023-09-30,印度,8.08,3,IND,15402360.453441143,0.3182234623140268,1.8521325409600173,2023
943,2023-12-31,印度,8.57,4,IND,21060913.364784956,0.4351122021470612,2.152133811601216,2023
944,2024-03-31,印度,7.76,1,IND,17476751.72101069,0.3610716715035923,1.896368753448244,2024
1173,2013-03-31,英国,0.99,1,GBR,4230506.480048345,2.211027080838569,8.604779273487347,2013
1174,2013-06-30,英国,1.86,2,GBR,476985.0929577556,0.2469768176056768,1.719700389406647,2013
1175,2013-09-30,英国,1.74,3,GBR,918985.7635212977,0.48371872479520467,2.485256184292273,2013
1176,2013-12-31,英国,2.57,4,GBR,3723414.739681164,1.9866749491192994,6.868294007832468,2013
1177,2014-03-31,英国,3.12,1,GBR,3836526.452972283,2.000169265825441,6.825685587828629,2014
1178,2014-06-30,英国,3.27,2,GBR,12069.246652520573,0.0062480440136795335,0.19138918095547,2014
1179,2014-09-30,英国,3.19,3,GBR,1301764.8764487803,0.6742394409373413,2.3149301445563752,2014
1180,2014-12-31,英国,3.2,4,GBR,3813806.0797278075,2.174091465840901,7.978505115469779,2014
1181,2015-03-31,英国,2.66,1,GBR,4279190.272723528,2.219062295312999,7.314832318487952,2015
1182,2015-06-30,英国,2.36,2,GBR,0.0,0.0,0.0,2015
1183,2015-09-30,英国,2,3,GBR,980633.9267647694,0.511643545466283,1.9984004569664542,2015
1184,2015-12-31,英国,1.87,4,GBR,3613008.236462464,1.8726870009874599,6.430778817032337,2015
1185,2016-03-31,英国,1.94,1,GBR,3666558.4795716717,2.0062202861462377,7.536320342778563,2016
1186,2016-06-30,英国,1.91,2,GBR,29548.993305303156,0.015340125427476167,0.23979351877843588,2016
1187,2016-09-30,英国,1.89,3,GBR,1100945.0025891117,0.6018648369220764,5.983337616910423,2016
1188,2016-12-31,英国,1.95,4,GBR,3603874.059974199,1.865266005973085,8.23025933225621,2016
1189,2017-03-31,英国,2.43,1,GBR,3561994.155973908,1.8441097726819573,6.3681418775981316,2017
1190,2017-06-30,英国,2.52,2,GBR,400100.25997792435,0.20726083817965132,1.4145976739175248,2017
1191,2017-09-30,英国,2.79,3,GBR,1154380.7696829846,0.597631782324106,1.8682861172219685,2017
1192,2017-12-31,英国,2.87,4,GBR,3668690.269702787,1.8987507606527343,8.225461599677303,2017
1193,2018-03-31,英国,2.07,1,GBR,3882976.471999167,2.0096701653935747,6.461170681825756,2018
1194,2018-06-30,英国,1.59,2,GBR,0.0,0.0,0.0,2018
1195,2018-09-30,英国,1.28,3,GBR,697971.8597992511,0.3614795674496023,1.545935724435802,2018
1196,2018-12-31,英国,0.69,4,GBR,3586448.506527441,1.8561860852762926,6.7000623971196305,2018
1197,2019-03-31,英国,1.36,1,GBR,3679102.2128208545,1.904152549075085,6.477875598085915,2019
1198,2019-06-30,英国,1.52,2,GBR,392591.5965993677,0.20398045600914438,1.3381156867526762,2019
1199,2019-09-30,英国,1.92,3,GBR,1045173.6195875934,0.5413853327011796,1.9697655445900955,2019
1200,2019-12-31,英国,1.77,4,GBR,3335987.223127553,1.7265587681232326,6.7980244881685685,2019
1201,2020-03-31,英国,-1.72,1,GBR,3312508.463021398,1.715543481715568,7.27527235255359,2020
1202,2020-06-30,英国,-21.94,2,GBR,28261.339993736397,0.014626811440945034,0.2333606836706654,2020
1203,2020-09-30,英国,-9.51,3,GBR,1121747.1864353355,0.5836016683923747,1.8958291066587216,2020
1204,2020-12-31,英国,-8.26,4,GBR,3473707.548163075,1.797837670847357,7.193808323252188,2020
1205,2021-03-31,英国,-6.66,1,GBR,4233913.645562458,0.4343518301863354,3.6025845627182544,2021
1206,2021-06-30,英国,25.73,2,GBR,44814.050049525365,0.0045974067726397665,0.1792506154727925,2021
1207,2021-09-30,英国,9.52,3,GBR,398339.0999252126,0.04086600967302017,0.5764739309465637,2021
1208,2021-12-31,英国,9.69,4,GBR,3341531.235433176,0.3428018897128467,2.6065173812068725,2021
1209,2022-03-31,英国,11.42,1,GBR,3830620.3152460386,0.3929767641946594,2.8308217249329135,2022
